"","Mouse_ID","POND_Mouse_ID","Study_Name","Background","Is_Wildtype","TwoLevel_Group","Mouse_Sex","Mouse_Age","Timepoint","AGE_cent","total_tissue_volume","Left Piriform cortex","Left Subiculum","Left Entorhinal area","Left Field CA1","Left Field CA3","Left Dentate gyrus, molecular layer","Left Hippocampus","Left Medial amygdalar nucleus","Left Amygdala","Left Anterior cingulate area","Left Retrosplenial area","Left Primary auditory area","Left Agranular insula","Left Perirhinal area","Left Primary motor area","Left Ventral orbital area","Left Primary somatosensory area","Left Primary visual area","Left Temporal association areas","Left Posterior parietal association areas","Left Globus pallidus","Left Bed nuclei of the stria terminalis","Left Nucleus accumbens","Left Caudoputamen","Left Thalamus","Left Medial preoptic nucleus","Left Hypothalamus","Left Cerebellar cortex","Right Piriform cortex","Right Subiculum","Right Entorhinal area","Right Field CA1","Right Field CA3","Right Dentate gyrus, molecular layer","Right Hippocampus","Right Medial amygdalar nucleus","Right Amygdala","Right Anterior cingulate area","Right Retrosplenial area","Right Primary auditory area","Right Agranular insula","Right Perirhinal area","Right Primary motor area","Right Ventral orbital area","Right Primary somatosensory area","Right Primary visual area","Right Temporal association areas","Right Posterior parietal association areas","Right Globus pallidus","Right Bed nuclei of the stria terminalis","Right Nucleus accumbens","Right Caudoputamen","Right Thalamus","Right Medial preoptic nucleus","Right Hypothalamus","Right Cerebellar cortex","Midbrain","Medulla","Pons","Hindbrain","Brain stem"
"1","AndR_202",1,"AndR","C57BL-6J","WT","AndR","M",56,1,-6.41958041958042,448.095541147894,5.16835428949946,2.96703569532277,6.00551236045185,4.37712020670909,3.47969957525933,2.23523838919642,11.6863348418396,0.506511398438821,7.16768546247625,2.39686251314566,2.76079135405011,0.770035768417982,0.46243757929503,1.30071831925045,4.30112802529252,0.766112994234018,14.1179838293599,1.0815450031625,1.48182918626103,1.37113950140248,5.62622173688271,0.723054004776034,3.74179083039356,10.9380492316827,9.29142737453142,0.098334111089752,5.50641222983392,11.8741861796305,5.64957256145322,2.9082062942171,6.09935199007004,4.25894265915549,3.49350791003484,2.04494454531353,11.3067821926296,0.565382262683445,6.62663844259239,2.49128561088721,2.61451746607116,0.735516369422823,0.420932138688212,1.28674645592418,3.63874672184583,0.733972980613315,14.1329100907642,1.09882268027325,1.62663227723836,0.998735034500574,5.63657860991028,0.686218006087473,3.74409833302241,10.8953779884846,9.00006335689174,0.0940236468230762,5.45199113524148,11.4655041490595,33.5745379925371,26.3661320075655,17.6631905750374,44.0786263103425,77.7814684577322
"2","AndR_203",2,"AndR","C57BL-6J","WT","AndR","M",56,1,-6.41958041958042,453.742992902444,5.24926441161437,2.95918760801692,6.18288329159197,4.4556901220222,3.37118322136056,2.16734012569968,11.5681616664992,0.501667428637337,6.89613708544166,2.70347815848329,3.120699317466,0.882989381368297,0.482063153758786,1.35502729475642,4.33610477615814,0.857633960619246,14.2090790874252,1.23857787345943,1.5364141989396,1.47896937536011,5.48170475670697,0.685377317203211,3.82003584052395,10.3875066182521,8.86057593533526,0.0980830913139029,5.56325452165956,12.5033029122979,5.44297785915639,2.83590093473648,6.14951874803718,4.27500346555725,3.33715716023066,2.00491110093359,11.1440650519233,0.533667144056267,6.45942628301261,2.7560006247778,2.90767831715073,0.815023759480598,0.465476677410018,1.32931482237341,3.95458391021132,0.752478635562574,14.2903801643924,1.22732485597759,1.7718549492176,1.15173591904664,5.59590251155174,0.668083548930634,3.81063180813405,10.5280001834063,8.79162928578816,0.0844176848845487,5.40676409651007,12.5147103746068,32.380748767603,28.0423539398483,18.1587465235021,46.2212794589098,78.6850343046761
"3","AndR_217",9,"AndR","C57BL-6J","WT","AndR","M",56,1,-6.41958041958042,449.796787045297,4.95424869942487,2.88468527921764,6.21261276083165,4.43365907280708,3.55692695498251,2.22589558813927,11.842787903315,0.522331597684094,7.06968461852334,2.66135992457476,2.98489938638381,0.790994416974771,0.423052467401884,1.3042718694996,4.22045485385644,0.837630345142398,14.0040237828187,1.16929142676886,1.29335996621763,1.34257915640832,5.72966719938827,0.691131392994546,3.95616591351203,11.097443867296,8.82777649188509,0.11284305413383,5.48592049453625,11.6565127019853,5.66999017020186,2.88914722087789,6.30536287224361,4.4665538523979,3.39924770969345,2.11984970061514,11.5812497973834,0.542223381095973,6.59712353850738,2.49687326289562,2.76878352633946,0.726917507221256,0.439715348184568,1.35643154361223,3.91207588085387,0.701304152923106,13.831139937603,1.16219361623704,1.51179800931646,1.01009648632329,5.69456993051381,0.681774805758447,3.93585559809958,10.8819796274584,9.02491971881932,0.0916807292770939,5.45551448811716,11.8404846706442,31.8929316479301,27.60453623315,17.5642535702122,45.161748336247,77.1148963109882
"4","AndR_218",10,"AndR","C57BL-6J","WT","AndR","M",56,1,-6.41958041958042,442.537594715926,5.07758022421039,2.88354076648554,6.24021869655414,4.34008331529895,3.35592570038443,2.18716641864073,11.4630447658203,0.552426048365655,7.11233702009389,2.50327317975292,2.87313146557735,0.785182354769948,0.455270560634202,1.24231940855205,4.40293425986115,0.811253896416287,13.2334743462537,1.13747873321732,1.40881858750548,1.35391262664409,5.82188644706383,0.71995180739288,3.87136889907315,11.0003785029446,8.6770527994055,0.111236527568396,5.47825836742495,12.1790072075717,5.69670742682886,2.76198746594286,6.30301812159946,4.24114099611579,3.30061493544627,2.02393749054145,11.0692316270248,0.570972337549386,6.65843271550801,2.61211858556556,2.66917770025954,0.732757033044708,0.460020102584261,1.28393706588592,3.67600450352966,0.68674013567062,13.3668343284692,1.10932163494186,1.41657697429214,0.976303450132608,5.7088916736588,0.708537337972813,3.89045063633534,10.687099152768,8.65212420227894,0.0872877588783771,5.42149811762651,11.3793325525841,31.9126220263761,27.5558681621611,18.3295057554199,45.937564522017,77.9129439810401
"5","AndR_231",11,"AndR","C57BL-6J","WT","AndR","M",56,1,-6.41958041958042,448.422613643317,5.06855439385494,2.91754914481089,6.06726247983127,4.38959697437679,3.44785779235266,2.18656891392196,11.6298872884094,0.506408335251555,6.84141819880195,2.60305707430792,3.14237898811161,0.858566978568229,0.449778079043661,1.21208070737527,4.50498551545156,0.855273652008409,14.1663819757887,1.3538296626703,1.44755633843865,1.47055022604212,5.69149806896667,0.705341458427058,3.76772810364785,10.916131246184,8.96051173959748,0.100693696982734,5.5277355138103,12.1902100316753,5.23531446659448,2.94394205672811,5.89312299155772,4.30313795509321,3.32085370609606,2.05394756878728,11.2239539949218,0.529446067116679,6.3392041885507,2.55306726320571,2.65245375909061,0.722233052439805,0.418728521931656,1.2265888648876,3.7387544516287,0.783677700043817,13.985887368221,1.19142723252985,1.54188374002663,1.08117839003473,5.79523300220932,0.698462639552347,3.81607400096595,10.5871105996982,8.81843223027634,0.0882834988354196,5.39267068500735,11.9765183851812,32.8724679439801,26.495047164896,18.2302203808596,44.8119414243963,77.7849085879641
"6","AndR_239",14,"AndR","C57BL-6J","WT","AndR","M",56,1,-6.41958041958042,458.508697067629,5.49006067145436,3.02829437679342,6.03507418230869,4.50447315956998,3.39008927996131,2.29857388938618,11.8392877105335,0.537791075773937,6.91901094409449,2.54806761006712,3.09838387935275,0.819115404814273,0.433702523168908,1.34094718999561,4.29696266792151,0.867547256784764,13.8422720829116,1.23088621641119,1.46484997724811,1.56452088496852,5.68886949183579,0.691731818294511,3.99953909905836,10.7440163511294,8.93340094962071,0.0997900257896767,5.63940062209894,12.3245136555248,5.63725449997677,2.97050564019463,5.84889990382799,4.31588551821629,3.39056502722331,2.11522814856528,11.404306663884,0.567892092215092,6.40694235456004,2.471220860494,2.953115789665,0.825419398858612,0.441394294284801,1.33297924416244,3.7920792563137,0.75835768839844,13.608263114454,1.23461754305279,1.69745784047959,1.14934710097109,5.77498299653297,0.688284610891671,3.90731076314791,10.7588723337944,8.79063103832119,0.0845348307618478,5.57934432645686,11.9485434177804,34.9423589464809,28.1552196799083,18.1319220538819,46.3008519500049,81.4337609218765
"7","AndR_240",15,"AndR","C57BL-6J","WT","AndR","M",56,1,-6.41958041958042,434.949747282318,4.88610368024124,2.68995461294126,5.80120608312134,4.2823080127654,3.15851770253803,2.14262515778687,11.1544722148846,0.509964015212219,6.73659716763606,2.59509220405276,3.09565007924202,0.699234283377401,0.399943855831925,1.19089350211615,4.04557109952835,0.823055439470475,13.2606452354769,1.15796930759384,1.28053123051898,1.44445086315625,5.37300213993969,0.674869874453819,3.7375672243104,9.96798267706604,8.34065350751974,0.104810421306659,5.4896624635906,11.9505868347106,5.16714327705357,2.68878871239947,5.82959660782759,4.14606776101725,3.34452807052906,1.98312378412711,10.9848162317739,0.554373237692356,6.15627022857696,2.50239741885816,2.98305902256675,0.730960255868261,0.35277742043188,1.29615180518269,3.85615758033018,0.762633363188161,13.3244117513357,1.16118772836459,1.63710477505095,1.08951012137139,5.36446549015519,0.629593034452444,3.68065943814851,9.90883827622058,8.1377272825487,0.0926764692341364,5.37345239659455,11.6799547411294,31.6587482140335,27.0941387730547,17.4047582930694,44.5000796690843,76.2077652381144
"8","AndR_241",16,"AndR","C57BL-6J","WT","AndR","M",56,1,-6.41958041958042,423.763340402002,4.88101053311209,2.67676546621893,6.01573885081095,4.23976335905152,2.97973935892692,2.28722129972953,11.2053639067566,0.488939125010031,6.34821373734484,2.24999030564305,3.11148068918563,0.745965611812146,0.433635541686096,1.21898666351986,4.01966012647025,0.736668144313819,13.1119937857311,1.15987683854181,1.35354182927453,1.39697981354011,5.28647814271435,0.63619247804772,3.62320496728938,9.62703079996682,7.98288332826098,0.0887451556523163,5.34081525009522,12.4600548006414,5.10470926683046,2.67330321531136,5.86133253515032,4.15606364751915,3.0801122799094,2.06060980615786,10.8775922199791,0.535834724106326,5.97555719207897,2.14923241351902,3.12785638084954,0.714275896372683,0.403250737570133,1.12520652872444,3.34283517224167,0.700302041644265,13.2084778129307,1.16596569575869,1.55054019775611,1.0063093357157,5.3690437523081,0.620189982593343,3.6975195649611,9.60388107074656,7.83391066597603,0.0820747673385664,5.30817427695245,11.9133210494987,30.3246650426711,26.3808818768808,16.6240036546239,42.9757827885892,73.2900969517662
"9","AndR_245",17,"AndR","C57BL-6J","WT","AndR","M",56,1,-6.41958041958042,438.415777891676,4.90750779222702,2.79214324973617,6.04591537973828,4.35818024858278,3.15000444808041,2.22546103925289,11.3730953671951,0.542635045575421,6.69656791499361,2.55118983920709,3.21650947483534,0.815358112075801,0.464580986744997,1.30179108913698,4.12508042111072,0.838515460871462,12.9335028772849,1.13440207039803,1.40982476285439,1.43629076458649,5.54615965843751,0.656156619271567,3.73480563571756,10.0861832417198,8.39231263095375,0.107722250706508,5.5633733143279,12.8363915312918,5.23655189742773,2.76073671425498,5.98609508105103,4.25445012589629,3.0643085485069,2.07297395839514,10.9609494835346,0.574223707624474,6.18397332666899,2.39699398324813,3.04294548837034,0.728329260717035,0.41767918061901,1.29676254214753,3.68675802286116,0.807861985573174,13.0435363003447,1.25454669652552,1.64909063959947,1.14853140699406,5.63869165398085,0.647004179927814,3.71672730436782,10.0007352700824,8.35180145184067,0.0853548519029416,5.51707707199941,12.4610796080872,30.7687190956147,27.8386497975961,17.9403767610955,45.7909014992116,76.57410783575
"10","AndR_246",18,"AndR","C57BL-6J","WT","AndR","M",56,1,-6.41958041958042,441.545181737369,5.0702950897092,2.84506333844436,5.9975770509935,4.50138206848116,3.10284986332461,2.40704815514858,11.7672837447409,0.555930196732686,7.08647277166313,2.49193120450983,3.07721282268123,0.780074784953587,0.503832135672496,1.3260625078199,3.96428537553764,0.841701877496092,12.9059074429175,1.16153823646423,1.28933526482197,1.36479275807047,5.74434342170234,0.694783980236001,3.86866145927626,10.0972890066934,8.54800748908126,0.0953720777347326,5.61724578944377,12.3334368351889,5.06269286535599,2.94007068245609,6.26184866261557,4.32004111148113,3.29555524278382,2.16882614831234,11.4116548006573,0.566751260609798,6.40676701849631,2.44423504113611,3.06169843710762,0.769334282708091,0.442233767334918,1.26488207258296,3.75406240267709,0.79095970867006,13.3003511852003,1.16854328343182,1.62511891050243,1.13920919011389,5.77897430199958,0.667360237249165,3.9164877941978,10.1329324322073,8.30079100627844,0.0900992599335558,5.59567987160769,12.067183370203,31.1101190414158,28.4393658406998,17.9543115505063,46.3828584231916,77.5230834020246
