"","gene","Medulla","Midbrain","Pons","left Agranular insula","left Anterior cingulate area","left Caudoputamen","left Cerebellar cortex","left Amygdala","left Entorhinal area","left Hippocampus","left Medial amygdalar nucleus","left Medial preoptic nucleus","left Ventral orbital area","left Globus pallidus","left Perirhinal area","left Piriform cortex","left Posterior parietal association areas","left Primary auditory area","left Primary motor area","left Primary somatosensory area","left Primary visual area","left Retrosplenial area","left Nucleus accumbens","left Subiculum","left Temporal association areas","left Thalamus","right Agranular insula","right Anterior cingulate area","right Caudoputamen","right Cerebellar cortex","right Amygdala","right Entorhinal area","right Hippocampus","right Medial amygdalar nucleus","right Medial preoptic nucleus","right Ventral orbital area","right Globus pallidus","right Perirhinal area","right Piriform cortex","right Posterior parietal association areas","right Primary auditory area","right Primary motor area","right Primary somatosensory area","right Primary visual area","right Retrosplenial area","right Nucleus accumbens","right Subiculum","right Temporal association areas","right Thalamus","Brainstem","left Hypothalamus","right Hypothalamus","left Bed nuclei of the stria terminalis","right Bed nuclei of the stria terminalis","left Dentate gyrus, molecular layer","left Field CA1","left Field CA3","right Dentate gyrus, molecular layer","right Field CA1","right Field CA3"
"1","1110008P14Rik","0.734390219118842","0.565737587308156","0.687811932813075","0.754180812790808","0.899945397365787","0.247821014810316","0.507952026825557","0.430520233800375","0.775748241382402","0.61213335909403","0.133302345291847","0.0540132424550771","0.835052107625815","0.308904997022866","0.812563428598943","0.734306936922049","0.685993574920235","0.905756392125518","0.928258892747898","0.910062323961936","0.705328273502276","0.80344265679171","0.327416755472213","0.736207917921628","0.855240860762232","0.436696783963576","0.672816801835845","0.916990730937238","0.277844678951348","0.547145293895553","0.422467897905939","0.766019650016491","0.615621409949957","0.163077763087845","0.0476373159243779","0.803621071846639","0.334545289329322","0.819877436309588","0.701834170948283","0.821608018820765","0.924431426861588","0.920083432494311","0.917119336727222","0.820453027872542","0.895960800088372","0.348712954234344","0.772388152649942","0.854340350084911","0.444454399532067","0.662646579746691","0.25586357344245","0.264757140980015","0.122492454170213","0.129626670667448","0.525186288825514","0.668951200312522","0.612400619766044","0.550603585801067","0.635865255870832","0.637569134479905"
"2","1190002N15Rik","0.271597047785647","0.349868415077078","0.289075985794275","0.539615782111373","0.536383382989417","0.363101794512","0.865076367178341","0.523926467836814","0.464640876482757","0.322751548325518","0.383633886713991","0.333627748647257","0.560314781606468","0.42051950589908","0.580561708299499","0.53898791838564","0.498152631032135","0.633641729093633","0.555918823730447","0.623055093005449","0.608908868874725","0.454965263364931","0.275529575406845","0.466460428021134","0.684669883027057","0.297178986972544","0.625080037437011","0.525313441074372","0.369097386812146","0.861788317229218","0.529819815843027","0.397210618321467","0.328644303158244","0.404711282335246","0.421964784269999","0.520907296608467","0.412644074118859","0.542210607259249","0.478579600485863","0.491566286891965","0.667148362700528","0.563916957523934","0.666356764107711","0.572780716034123","0.481158949109156","0.256379520845754","0.447172684809202","0.720193192169135","0.316930103321495","0.303513816219","0.369630172000616","0.373977136318136","0.509481190312631","0.38976482614846","0.318124406450983","0.413907259812533","0.226079878512734","0.282966499764313","0.436694293027925","0.233510879405959"
"3","1700037H04Rik","0.533594830706246","0.55032589274797","0.588763090552013","0.46221496692231","0.629622879453197","0.776296396846841","0.285879688391717","0.522535084062846","0.393920370796727","0.44633984113565","0.336608710089594","0.553674569658594","0.753982470727485","0.62488624497249","0.462985629199725","0.440402410847585","0.399518806209833","0.338439075259705","0.579924999929997","0.422070344710921","0.40924812596516","0.445515465933311","0.726233530703133","0.374601339934548","0.409233867958858","0.473845185669566","0.66763827983895","0.658929121807253","0.822363606281526","0.346066946649706","0.679957532299449","0.581916473169548","0.544013246123915","0.681689128987383","0.695232877389601","0.710142547395507","0.629976442869975","0.658362910247961","0.593336442539053","0.483089410583594","0.563513646448497","0.639369816437477","0.572035002823471","0.657893007714296","0.559155169102506","0.755347845742813","0.628195963445844","0.588528139322456","0.603465400328083","0.55756127133541","0.598703144496036","0.713369172170117","0.568848191987253","0.684572536615132","0.419114090807495","0.506159531478764","0.374181155326322","0.533848733759883","0.599512119641811","0.479410081403611"
"4","2010111I01Rik","0.553363935789024","0.410538995354741","0.416690284007221","0.773566450351817","0.675091191995793","0.541618753010107","0.247075612730879","0.535532785183983","0.340516661311857","0.607041818905637","0.262129283638135","0.0662800482209129","0.544002362659063","0.254617887989539","0.448930255246793","0.53214615552878","0.607987167064784","0.810565084595859","0.816049954031546","0.848760264947755","0.545797325701844","0.68601227335164","0.403677517629235","0.535809864273033","0.704165878645524","0.434637738852237","0.75893596189347","0.706728425324464","0.536532610692277","0.272701361941666","0.469258004306677","0.429496024536997","0.658452659991783","0.283840344061033","0.0989000943094942","0.546863947957041","0.264998171238679","0.398547281182188","0.526898904667239","0.700622427348212","0.803510516308311","0.797766055290071","0.850645062015506","0.722622278461849","0.730528564115312","0.421283000036672","0.542733426841841","0.702210984992239","0.438348940923972","0.460197738383662","0.248152238043083","0.275750766916537","0.100593391940137","0.161978189703522","0.440664003763324","0.563121320539782","0.73645764413074","0.487782207687795","0.624313118076576","0.788900596970455"
"5","2010300C02Rik","0.29788896544881","0.414278732276229","0.22846592930186","0.850402210510191","0.840651373502355","0.925131966130108","0.392203284327009","0.849560592772105","0.78226351182811","0.839331508513377","0.749789695548634","0.4913955042229","0.867953240576062","0.538829231879946","0.853892690280447","0.883304189080305","0.780408446729067","0.870406612771646","0.862134853606605","0.861571168287086","0.729613224296621","0.725888176750161","0.885548994836412","0.767915331623223","0.876240493261599","0.325997951800877","0.839035582979326","0.847086139512941","0.936041786633474","0.364872642830648","0.847790017696155","0.846419895723212","0.845985313361221","0.73310953515482","0.526010450223162","0.863049911192655","0.596584882869988","0.845591343091438","0.870512845725096","0.831242003065572","0.863288273006557","0.864034699972642","0.862168640980383","0.828533029597286","0.777740997897812","0.892798866881616","0.802534750506997","0.873625647294407","0.333986499508397","0.3135445423423","0.418717793540562","0.41198392698119","0.670372485866662","0.697412431538379","0.821198891578086","0.85977225693262","0.819391094734494","0.853710335547834","0.858726837976716","0.819666293051599"
"6","3830406C13Rik","0.648789629065094","0.56929775714083","0.628877435557906","0.340947477097679","0.424566841347139","0.448761534383744","0.41892458522793","0.367122292979745","0.553903886592021","0.33799566201371","0.28601849342859","0.689261856657217","0.435273750270182","0.345606336189986","0.488356038048169","0.322124269640136","0.465086909580032","0.264796844456703","0.534297213456842","0.395453892271832","0.47007508612699","0.479270849081734","0.368396854545634","0.517791556369734","0.473224049441413","0.508587572555482","0.457626224236377","0.447134808876102","0.414357152601967","0.484825021583112","0.348553953857104","0.508773266445793","0.319257732197134","0.22833123411186","0.283902428289675","0.517782957376303","0.403675285939512","0.379391958603682","0.304098556480425","0.511944409237168","0.477240830990278","0.522740257465499","0.420320715074719","0.593064086788179","0.516816638873617","0.37226730880914","0.447524516356413","0.42661726561279","0.52165158062943","0.615654940587943","0.467973353439407","0.400125497430539","0.519046648860419","0.466049057381043","0.351821994943433","0.365031559986998","0.317441947308767","0.350810106967753","0.30968910101103","0.311859408989503"
"7","4833420G17Rik","0.381086913168582","0.432156974573016","0.280838056463069","0.634800265636653","0.652240378899222","0.44786124042148","0.271125049314631","0.532609090927559","0.511366445527836","0.655533300413714","0.441060874109135","0.593344482463191","0.65770110708434","0.466180260866831","0.645205187586097","0.599446991780482","0.514607139458221","0.762623961029588","0.668480873046492","0.620745471539211","0.397646594150047","0.531732865931943","0.55667420301717","0.425005707478008","0.698019192682676","0.503434728684859","0.731278914699956","0.671282692585286","0.488518659384005","0.322318890447124","0.630612522865036","0.585727144815228","0.673257216745551","0.567579355452726","0.629867097505073","0.670250946048377","0.5232299218618","0.719674639952585","0.650471779335049","0.533353510768326","0.741973542818647","0.683874749557672","0.673995703576517","0.425431611796011","0.609205314656429","0.5557000412539","0.498308162898079","0.763742750965244","0.524894953441447","0.364693981401555","0.54346758638232","0.560716645997687","0.544338778635234","0.564648213953342","0.640609368446319","0.669591105454715","0.646440488058815","0.682798430450629","0.665460571533015","0.670438072269443"
"8","4932438H23Rik","0.521206777823056","0.442330014544732","0.419015486558611","0.278828563649618","0.429499615491643","0.581302645212126","0.548229395156052","0.401841338378342","0.387716438124704","0.330284514815172","0.581896959390112","0.862912461435361","0.42028360434012","0.565450213563519","0.467310719968089","0.288670601944444","0.480186492777721","0.492009282583143","0.476597377148732","0.426443103038849","0.38950594015952","0.323948886599886","0.410541265237897","0.393761069025124","0.463132665326821","0.443527477723898","0.384978667314417","0.398098950800371","0.582857005878389","0.579935643797851","0.440356144607444","0.401970340570647","0.31336390362142","0.362501018235739","0.639367160355213","0.357581361697689","0.577236640486443","0.378723294375466","0.408596575799668","0.500580079947023","0.458080264128684","0.449442869489166","0.415911893043805","0.496352826616915","0.320785079206178","0.534389092236162","0.425879640447337","0.445016463337364","0.424344542256389","0.460850759642133","0.596163431730369","0.556669590133537","0.611101744553048","0.676413131555841","0.385504035325536","0.344891438447267","0.263098932847461","0.36486470762775","0.343211514819066","0.2580804535224"
"9","6430548M08Rik","0.620797654058887","0.530711633730152","0.581202345323798","0.731391964610797","0.488516433710944","0.213762032520697","0.449436826938451","0.5058236630295","0.371252193734451","0.335594624543165","0.468986752091903","0.539422524474185","0.387261783482111","0.501779907825264","0.624242807188447","0.610572107158047","0.36722412505941","0.616707220567803","0.599451849327109","0.596358627734268","0.376330005297391","0.379386099034552","0.2667662211909","0.399866818557521","0.61313943321392","0.727380703274995","0.740974403535584","0.495729345967733","0.184481567136313","0.528540753170049","0.511295910662596","0.482004887550032","0.321918666695523","0.47090242109612","0.565683040269151","0.477965682114172","0.479042490673261","0.645767738427528","0.68895783771546","0.457891227881205","0.615783200113156","0.584641099615598","0.602630251033913","0.544160947852128","0.462307977784195","0.27385597935895","0.421934634588327","0.624750700164163","0.726090549266061","0.577570544370946","0.565477924222341","0.568623342233883","0.56183528365985","0.541967402962371","0.229382393019292","0.380919023825564","0.333237465114488","0.195730304333941","0.34235023723696","0.36152167360236"
"10","9530068E07Rik","0.610081421824262","0.494235133311226","0.434295219776501","0.671389121497975","0.481551442674087","0.567649384119293","0.425962214405848","0.431959902045245","0.560669844581471","0.338747200743008","0.456023252163815","0.684043039878639","0.705944934740628","0.533185826446408","0.558669623192785","0.447777592271915","0.46451563212882","0.535853960893501","0.429849973124196","0.43417710477558","0.551379321240558","0.487423858593011","0.527926959086424","0.442060419677564","0.524242841965894","0.503953038713174","0.769547486394908","0.524247674953032","0.63879784981787","0.33593205831155","0.538169598032444","0.608272657403184","0.26542346182616","0.506254530401213","0.577340193835527","0.707869375213543","0.598187189239508","0.494801856061503","0.56072182745917","0.432731284971785","0.417773650970423","0.492076426680445","0.492996492238358","0.59796518325173","0.473609931732926","0.626687323292281","0.538469128410236","0.406142861897326","0.495830779243267","0.512870591637329","0.60587510011866","0.563633944239166","0.63938934816399","0.686724156621618","0.267387156370743","0.353820937419663","0.365683543776253","0.228819823020938","0.286390216835316","0.272988445093372"
"11","A4galt","0.591361362363522","0.498252005703772","0.644328762570652","0.429885630897185","0.484478183614584","0.432579529919586","0.504313211164928","0.477683001379596","0.486418772405323","0.427696461862235","0.679333778301196","0.527722962715006","0.576860639126529","0.475890776560029","0.421288567308099","0.395473978427268","0.391292257667217","0.227774286354647","0.380792469179128","0.273101650041418","0.492560787211738","0.556986642377759","0.491395861532501","0.61585652878517","0.312336814867622","0.511731821590838","0.345247836657781","0.460718040258193","0.449646796745087","0.409520467024818","0.492205945053525","0.475052446036215","0.319950994236363","0.632001159508095","0.611470154446126","0.399791355091283","0.455445657463044","0.441456506385024","0.40292608955272","0.363357497832984","0.286471987591476","0.504629954028463","0.352311178435821","0.52236758857458","0.501877739263045","0.41257628304851","0.526682593276638","0.354850681011947","0.520833071213226","0.577980710212649","0.495311840608033","0.509271940017532","0.467525212789773","0.479289970742516","0.623703830510648","0.35789875931362","0.423155797723516","0.508903433599255","0.273969894825151","0.290018450288416"
"12","A830018L16Rik","0.46346109735276","0.430459211338638","0.467353002207769","0.590789221333917","0.625375607659542","0.40714475794864","0.144080791287563","0.650061771697502","0.741326053914849","0.699984413789338","0.421532395572132","0.46133384645468","0.698233001901117","0.443455470626314","0.73521701248435","0.605353425504115","0.617132461857666","0.718536557738996","0.683577466334182","0.712501081796703","0.542748033041722","0.579601613559283","0.682279734562565","0.651911865114381","0.732288798066541","0.297682694513844","0.472676956755914","0.642479095220165","0.408403768028483","0.124616144684901","0.697817926957221","0.676643724850729","0.704732020269904","0.497122359468273","0.418482609116535","0.704778339827819","0.441807208817098","0.68514029248028","0.515179329330419","0.620626421870695","0.682377325126148","0.673912836102215","0.705872567048826","0.565378153304514","0.607264606850426","0.627720457247608","0.684083413025575","0.684719283082927","0.281450928040545","0.453757770299723","0.413812805309527","0.396147424512732","0.487149929039079","0.435450760308763","0.660311906788155","0.703037632965528","0.721718097799012","0.662948762014664","0.709120189104501","0.719684612198499"
"13","AI593442","0.60831586302515","0.472696972280325","0.575682664917714","0.877328619455064","0.733023918345915","0.835068370199246","0.396263313314901","0.539526294421291","0.453580063409466","0.652499406413773","0.369065178135485","0.0412212485411892","0.531900969405465","0.379104752248631","0.587557931783765","0.56037380410178","0.673825005354559","0.816260409676341","0.763220852592911","0.832934102227278","0.692543984806908","0.643891203793215","0.62115383896374","0.602428032342777","0.726995518835849","0.77467750092865","0.864201632231858","0.726615270604977","0.861712131971752","0.387380184414254","0.536572107500447","0.402678887916476","0.654008828658558","0.371210053965886","0.0332216618987548","0.618926790703223","0.387864594294354","0.572217201721179","0.584742160409571","0.549957838128201","0.817130675099469","0.79681183894495","0.84812814937776","0.530098744874737","0.67437704349022","0.619163614954397","0.593838833317517","0.738407109939344","0.777980344334454","0.55223183340773","0.216099093458669","0.205336949381251","0.288793104160178","0.227336002169912","0.681844244990125","0.685987021038389","0.584526986889881","0.701584258460591","0.702687960319165","0.565509611505739"
"14","Aacs","0.498554694045144","0.388149974681288","0.467553168093852","0.709494555613822","0.61165540290481","0.433703404991991","0.14990701933198","0.63779141281683","0.791368204622295","0.43490311655856","0.455102976284561","0.405973710931061","0.765745061651177","0.48308999545761","0.766222068650013","0.688844194432317","0.478300095582242","0.66752574651556","0.69203688479009","0.612665995438996","0.441188067964422","0.441669422945296","0.507727755657164","0.542163931500772","0.701454902991937","0.647385318290246","0.832392138306185","0.616034104595052","0.375629488392411","0.179484461346894","0.62256754804646","0.823386696255146","0.398367424132286","0.450199247636485","0.470533423111388","0.750269755184281","0.424581133260436","0.731466609084644","0.693948736623412","0.437867481368777","0.552147115692212","0.655552678614508","0.520472963428329","0.54166730503787","0.454834558641774","0.454903143855878","0.57946468305839","0.586440746987462","0.612293522787614","0.451419278940095","0.536950168605225","0.53460075938715","0.487501994168004","0.457103232777937","0.319378662711854","0.423703070501936","0.514653242648259","0.285956058025665","0.403192790372395","0.457164308582184"
