"","Key","Mouse","Human"
"1",73,"Ar","AR"
"2",316,"Ddx5","DDX5"
"3",570,"Prmt2","PRMT2"
"4",740,"Pias2","PIAS2"
"5",1023,"Ncor1","NCOR1"
"6",1060,"Sfrp1","SFRP1"
"7",1066,"Shh","SHH"
"8",1126,"Spp1","SPP1"
"9",1294,"Wnt4","WNT4"
"10",2370,"Chst10","CHST10"
"11",2406,"Zdhhc7","ZDHHC7"
"12",3250,"Zmiz1","ZMIZ1"
